Unemployment averaged 3.2 per cent for the year as a whole, sustaining a state of full employment.	失业率全年平均在百分之三点二的低位，维持全民就业。
The SFAT is a statutory tribunal established under the Securities and Futures Ordinance (SFO). According to the law, the SFAT is chaired by a judge or former judge for hearing appeals against specified decisions made under the SFO by the Securities and Futures Commission (SFC), the Hong Kong Monetary Authority, and the investor compensation company recognised by the SFC.	上诉审裁处是根据《证券及期货条例》成立的法定审裁处，按法例由一位法官或前法官担任主席，负责处理就证券及期货事务监察委员会（证监会）、香港金融管理局，及证监会认可的投资者赔偿公司根据《证券及期货条例》所作出指定类别的决定而提出的上诉。
Secretary for Financial Services and the Treasury	财经事务及库务局局长
I hope both sides can continue to step up exchanges and co-operation in the coming year."	我期望两地来年能继续加强交流和合作。」
(3) to discuss any matters as may be suggested by the Financial Secretary from time to time.	（三）讨论由财政司司长不时提出的其他议题。
Hong Kong will continue to negotiate with trading and investment partners with a view to expanding its CDTA network.	香港将继续与贸易及投资伙伴磋商，以拓展全面性协定网络。
“In Hong Kong, there are about 300,000 SMEs, accounting for 98% of business establishments, 60% of GDP and 60% of total private employment,” he said.	他说： 「香港约有三十万家中小型企业，乃全港商业单位总数的百分之九十八，占本地生产总值百分之六十，及私人企业雇员总数的百分之六十。」
Mr Tsang said he was confident that the passing-out members would do their best to embrace the challenges ahead, uphold the spirit of the CSD and contribute to the stability of Hong Kong.	曾俊华深信结业学员对工作充满期望，并会全力以赴，无惧挑战，秉承惩教署的精神，为香港的安定作出贡献。
The two-day G20 Leaders' Summit will result in the adoption of the G20 Leaders Joint Statement that will reflect the G20's intentions and concrete mechanisms for further work on stimulating strong, sustainable and balanced growth.	为期两天的二十国集团领导人峰会可望通过二十国集团领导人联合声明，以反映二十国集团的意向和未来在促进强劲、可持续和平衡增长的具体机制。
The Financial Secretary, Mr John C Tsang, today (November 6) addressed the Asia-Pacific Economic Co-operation (APEC) member economies on the daunting challenges posed by continuous capital inflows.	财政司司长曾俊华今日（十一月六日）向亚太区经济合作组织（亚太经合组织）财长讲述资金继续大量涌入所带来的挑战。
FS in meetings with heads of Russian financial regulators	财政司司长与俄罗斯金融监管机构主管会面
The Financial Secretary determines the pay adjustment of HKMA staff each year in the light of recommendations made to him by the GSC through EFAC, taking into account the GSC's assessment of the performance of the HKMA in the preceding year, the pay survey findings of the financial sector conducted by independent human resources consultants and any other relevant factors.	财政司司长在决定金管局员工的年度薪酬调整时，会透过外汇基金咨询委员会听取其辖下管治委员会的建议，并会考虑管治委员会对金管局在过去一年的表现评估、独立人力资源顾问公司进行的金融业薪酬调查结果，以及其他相关因素。
At a business luncheon organised by the Trade Development Council, Mr Tsang outlined the advantages of doing business in Hong Kong. He said that the Closer Economic Partnership Arrangement and Hong Kong's ever growing business and transport connections with Guangdong Province have unleashed multiple business opportunities for foreign companies incorporated in Hong Kong.  Mr Tsang also encouraged more Brazilian firms from all sectors to consider the capital-raising potential of listing in Hong Kong.	曾俊华随后在香港贸易发展局举办的商务午餐会上论述在香港营商的优势，并指出《内地与香港关于建立更紧密经贸关系的安排》以及香港与内地广东省密切的商贸及交通联系，使在港注册成立的外国企业占尽商机。 曾俊华又鼓励更多巴西企业考虑来港上市集资。
To mitigate the risk of a credit-asset price cycle, the IMF believes that there is a role for the introduction of countervailing prudential measures in addition to the continued strict enforcement of the existing regulatory regime in maintaining financial stability.	为减低信贷与资产价格周期所造成的风险，基金组织认为除了继续严格执行现时的监管制度以维持金融稳定外，推出抗衡的审慎监管措施亦可发挥一定作用。
Addressing the ceremony, Mr Tsang said, "We have a deep pool of nimble and skilled ICT professionals who are capable of delivering ingenious applications and solutions.	曾俊华在颁奖典礼上致辞时说： 「我们拥有大量灵活而专业的资讯及通讯科技人才，每每能开发创新的应用系统和解决方案。
"I look forward to Professor Christensen sharing his ideas on how we might use his theory to tackle these challenges."	「我热切期待克里斯坦森教授与我们分享他的见解，如何利用他的理论来应付这些挑战。」
promoting the pilot implementation under CEPA of policies and measures on further services liberalisation in sectors such as finance, education, tourism and culture in the Greater Bay Area; and advancing the full liberalisation of trade in services in the Greater Bay Area.	以及推动《安排》项下在金融、教育、旅游、文化等服务贸易领域扩大开放的政策措施在粤港澳大湾区内率先实施，推动在粤港澳大湾区内实现服务贸易全面自由化。
For details of CEPA and its Supplements, please refer to the Trade and Industry Department's website at www.tid.gov.hk/english/cepa/index.html.	有关《安排》及其补充协议的详情，欢迎浏览工业贸易署的专题网页︰ www.tid.gov.hk/tc_chi/cepa/index.html。
